startHub,endHub,kmLength_euclid,kmLength_road,exist_pipeline
nataliaL,laredo,194.7021419424694,203.7804,0
laPorte,deerParkL,8.42637450236838,10.169,0
laredo,corpusChristi,208.31233618248834,225.24929999999998,0
annaL,dallas,66.0242545215967,69.6809,0
italy L,midlothianL,33.710952569732974,41.5062,0
houston2L,wallerL,59.48650373833947,63.8919,0
abilene,fortWorthL,228.49309042864263,251.35029999999998,0
baytownL,montBelvieu,14.753250934835444,16.9531,0
almaL,fairfieldL,70.6579603162855,76.89710000000001,0
hungerfordL,corpusChristi,222.0116778697242,253.42620000000002,0
centerville,collegeStation,79.69262405649195,109.274,0
annaL,rockwallL,49.69905420354505,83.1376,0
bridgeportL,wichitaFalls,103.35694063707587,131.7279,0
comfortL,sanAntonio1L,79.21128194298694,93.6497,0
comfortL,sonora,179.13997844332,197.8702,0
lulingL,austin,69.85659223892347,76.9666,0
bensonL,willcoxL,57.71821407021911,62.9478,0
deerPark,laPorte,10.995092538119218,13.562299999999999,0
brownsville,laredo,268.09641557225274,328.4013,0
eloyL,bensonL,155.76540443787883,165.13139999999999,0
quartzsiteL,coachellaL,178.85628093538213,184.6344,0
willisL,clevelandL,40.08678386275348,46.9635,0
annaL,texarkana,233.16915682459782,274.0462,0
weimarL,katyL,87.00663367048959,89.6665,0
hillsboroL,italy L,27.424253189714317,30.143900000000002,0
vanHornL,elPaso,174.66073492547818,193.4955,0
baytown,sanJacinto,87.92498723645177,122.3095,1
montBelvieu,channelview,23.013472895903284,25.875,1
texasCity,freeport,64.59633434363035,76.89439999999999,0
buckeyeL,eloyL,110.13415624837229,138.5358,0
katyL,wallerL,31.577063469812877,50.9551,0
vanHorn,elPaso,173.4741503109335,193.0757,0
texasCity,deerParkL,38.945247092978235,44.7438,0
troyL,austin,109.83394535329671,119.042,0
midland,lubbock,174.37469887888997,190.5037,0
chandlerL,eloyL,58.994165680511294,61.600199999999994,0
odessa,sanAngelo,187.19692431784654,212.6619,0
comfortL,austin,116.01759276027306,149.23160000000001,0
bensonL,lordsburgL,157.56913263845468,178.6756,0
seguinL,lulingL,43.97698075402038,46.197300000000006,0
tollesonL,chandlerL,32.41406099274633,45.292199999999994,0
laPorte,texasCity,32.055914228408945,36.389300000000006,1
tollesonL,quartzsiteL,186.97784384084122,191.5308,0
theWoodlands,houston1L,47.27784509569208,56.6974,0
hillsboroL,fairfieldL,91.4659162956063,122.03389999999999,0
fortStocktonL,vanHornL,188.23337679472837,194.679,0
theWoodlands,willisL,29.134143735801473,33.689800000000005,0
fortWorth,fortWorthL,17.15468314468646,19.0695,0
lasCrucesL,anthonyL,43.940545906361095,52.564099999999996,0
pearland,deerParkL,24.518785918659933,32.4336,0
wallerL,houston,61.89276812783919,68.8317,0
pearland,houston,22.958568643370707,27.3807,0
hutchinsL,dallas2L,13.754955524549192,17.2945,0
sanAntonio3L,corpusChristi,208.45954245894586,237.4398,0
theWoodlands,houston,47.721190558086285,52.9164,0
dentonL,dallas,64.64254840209675,70.7807,0
pearland,leagueCity,19.558424124737797,22.509900000000002,0
sanAntonio3L,comfortL,79.21128194298694,95.4551,0
rhomeL,fortWorthL,53.06881930261366,58.0155,0
sanAntonio2L,corpusChristi,208.71273411893,233.7214,0
baytownL,deerParkL,11.617429838501048,13.4359,0
abilene,wichitaFalls,198.4328800321496,245.8006,0
katyL,hungerfordL,46.95998395045199,62.4439,0
sanAntonio2L,comfortL,78.89614227774427,91.52669999999999,0
mcallen,corpusChristi,191.4104578234971,250.95489999999998,0
seguinL,austin,83.44221470586707,88.90589999999999,0
hungerfordL,sugarLand,49.62797512671325,58.2921,0
portArthur,montBelvieu,92.92799548756726,101.27,1
dallas,coachellaL,1803.4399016848656,2104.9164,1
laredo,sanAntonio,232.19561842124247,249.41029999999998,0
freeport,leagueCity,66.41147391120423,82.71910000000001,0
theWoodlands,sanJacinto,47.78834583726761,79.3367,0
chandlerL,coachellaL,393.54609927307536,418.7507,0
sonoraL,sanAngelo,99.85146498321174,111.1136,0
fortStocktonL,odessa,114.96704312220955,155.6444,0
almaL,dallas1L,45.31038907948233,51.1255,0
houston2L,houston,4.2648005396923105,5.447,0
dallas1L,fortWorthL,53.076813486943365,62.9875,0
chocolateBay,hungerfordL,103.9870451954368,125.8131,0
fairfieldL,waco,93.36906409335415,103.2538,0
hillsboroL,midlothianL,52.96463517787685,68.2916,0
dallas1L,dallas,13.892666139445272,22.8955,0
weatherfordL,fortWorthL,42.894370330500074,50.4525,0
anthonyL,elPaso,26.860721597720246,38.5078,0
pasadena,deerParkL,11.391649352165857,14.204799999999999,0
weatherfordL,abilene,190.69303390470284,201.59629999999999,0
nataliaL,sanAntonio,43.12060289796028,46.5816,0
lasCrucesL,elPaso,70.04827979949182,90.31439999999999,0
houston2L,sugarLand,32.2921945135401,38.2683,0
lulingL,corpusChristi,210.06948129881968,239.864,0
dallas1L,rockwallL,42.76124067360572,51.1772,0
brownsville,mcallen,80.9682684466412,94.4134,0
buckeyeL,tollesonL,32.87653793768108,34.8486,0
katyL,houston,49.693197071766214,53.1118,0
italy L,almaL,34.94843871086917,40.0908,0
amarillo,wichitaFalls,338.23061154471935,360.2327,0
sugarLand,pearland,34.265271326725205,39.377300000000005,0
weimarL,lulingL,78.8834627025008,81.7345,0
sanAntonio3L,laredo,215.82474226554388,230.579,0
pearland,houston1L,26.015375641878812,28.2306,0
dentonL,fortWorth,58.23819464713324,61.732,0
pasadena,leagueCity,23.129819274002,25.1436,0
freeport,pearland,67.86546780762065,84.0335,0
wallerL,houston1L,68.03306300365334,73.22619999999999,0
texarkana,dallas1L,264.5933724550608,294.2708,0
killeen,austin,93.61071761912784,108.2026,0
katyL,sugarLand,29.718078754603027,40.7116,0
dentonL,wichitaFalls,141.49533796963172,161.9737,0
eloyL,coachellaL,430.52654497920526,479.21479999999997,0
texarkana,dallas,264.07442757216177,284.0897,0
sanAntonio3L,sanAntonio2L,29.126636200237844,32.1345,0
weimarL,wallerL,93.66931493371109,119.1704,0
midlothianL,dallas,38.17132725761969,40.2533,0
rhomeL,fortWorth,36.488082126424196,41.6082,0
nataliaL,sanAntonio1L,26.142221950786237,27.7796,0
texarkana,rockwallL,225.79681582218313,244.3815,0
portArthur,beaumont,26.579427137163886,28.0098,1
deerPark,pasadena,8.39633299422783,11.719899999999999,1
troyL,killeen,40.392128229289696,50.8221,0
italy L,waco,75.04650852075228,84.5472,0
deerPark,deerParkL,3.011802445788319,4.3309,0
sanJacinto,laPorte,94.66264004442455,125.1137,1
sonoraL,sonora,5.499857836969576,6.1964,0
buckeyeL,chandlerL,60.854411074551024,78.45989999999999,0
buckeyeL,quartzsiteL,155.02480241427102,157.741,0
tollesonL,eloyL,89.41716411502976,105.36810000000001,0
montBelvieu,laPorte,23.653253787278327,29.018,0
buckeyeL,coachellaL,333.3902980091792,341.60679999999996,0
fairfieldL,centerville,55.52994340363214,57.3883,0
laredo,mcallen,193.12056691418312,234.3547,0
almaL,tyler,117.02010098377869,140.0115,0
sugarLand,houston,30.069082142076493,33.4805,0
rhomeL,dentonL,36.40640045744153,50.5253,0
weimarL,austin,113.121984899384,139.23270000000002,0
houston2L,houston1L,9.728144410897151,12.9395,0
chocolateBay,corpusChristi,119.03315190685956,136.1166,0
brazoria,hungerfordL,60.52851622586402,83.3014,0
pasadena,pearland,15.922897974310677,21.189,0
rhomeL,bridgeportL,29.82571480142996,38.443599999999996,0
willcoxL,lordsburgL,104.9333300788787,116.8368,0
